id;date;advertiser;client;affiliate;tags_id;stats_countrycode;stats_model;name;link;status


93;2021-08-17 11:06:42;Advertise;Kontiki media;Hasina Millet;2;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.6""}]";Club des Reducs;https://clk.tradedoubler.com/click?p=273317&a=3079782&g=25047914&url=https://www.graindemalice.fr/C-44318-nouveautes?utm_source=mojo&utm_medium=email_jeans;success
94;2021-08-17 14:14:40;GDM;MOJO;M̩lissa;26;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.18""}]";Temps privileges;https://clk.tradedoubler.com/click?p=273317&a=3079782&g=25047914&url=https://www.graindemalice.fr/C-44318-nouveautes?utm_source=mojo&utm_medium=email_jeans;success
95;2021-08-17 15:41:32;GDM;MOJO;Lorraine Seigner;8;Fr;"[{""modelid"":1,""modelname"":""cpc"",""payout"":""0.6""}]";Les Privil̬ges (.net);https://clk.tradedoubler.com/click?p=273317&a=3080682&g=25047914&url=https://www.graindemalice.fr/C-44318-nouveautes?utm_source=mojo&utm_medium=email_jeans;success
96;2021-08-18 06:11:11;Bureau Vall̩e;MOJO;Lorraine Seigner;26;;"[{""modelid"":null,""modelname"":"""",""payout"":""""}]";Les Privil̬ges (.net);https://clk.tradedoubler.com/click?p=273317&a=3080682&g=25047914&url=https://www.graindemalice.fr/C-44318-nouveautes?utm_source=mojo&utm_medium=email_jeans;success
97;2021-08-18 06:16:35;Advertise;ACAI;Nastya;26;;"[{""modelid"":null,""modelname"":"""",""payout"":""""}]";Les Privil̬ges (.net);https://clk.tradedoubler.com/click?p=273317&a=3080682&g=25047914&url=https://www.graindemalice.fr/c-115829-tous-les-jeans?utm_source=mojo&utm_medium=email_jeans;success
98;2021-08-18 06:19:03;Advertise;ACAI;Nastya;26;;"[{""modelid"":null,""modelname"":"""",""payout"":""""}]";Les Privil̬ges (.net);https://clk.tradedoubler.com/click?p=273317&a=3080682&g=25047914&url=https://www.graindemalice.fr/c-115829-tous-les-jeans?utm_source=mojo&utm_medium=email_jeans;success
99;2021-08-18 06:20:53;Advertise;ACAI;Nastya;26;;"[{""modelid"":null,""modelname"":"""",""payout"":""""}]";Les Privil̬ges (.net);https://clk.tradedoubler.com/click?p=273317&a=3080682&g=25047914&url=https://www.graindemalice.fr/c-115829-tous-les-jeans?utm_source=mojo&utm_medium=email_jeans;success
100;2021-08-18 06:30:11;Advertise;ACAI;Andrea Navarro;26;;"[{""modelid"":null,""modelname"":"""",""payout"":""""}]";Les Privil̬ges (.net);https://clk.tradedoubler.com/click?p=273317&a=3080682&g=25047914&url=https://www.graindemalice.fr/c-115829-tous-les-jeans?utm_source=mojo&utm_medium=email_jeans;success
101;2021-08-18 09:11:58;Advertise;ACAI;Andrea Navarro;26;;"[{""modelid"":null,""modelname"":"""",""payout"":""""}]";Les Privil̬ges (.net);https://clk.tradedoubler.com/click?p=273317&a=3080682&g=25047914&url=https://www.graindemalice.fr/C-44318-nouveautes?utm_source=mojo&utm_medium=email_jeans;success
